TTHERM_ID,000min_A,000min_B,030min_A,030min_B,060min_A,060min_B,090min_A,090min_B,120min_A,120min_B,150min_A,150min_B,180min_A,180min_B,210min_A,210min_B,240min_A,240min_B
TTHERM_00255700,0.223151,0.317044,0.544213,0.37415,0.335082,0.331235,0.187224,0.308809,0.267059,0.313179,0.36997,0.341918,0.262277,0.359436,0.128621,0.326528,0.192345,0.310855
TTHERM_00256042,0.415056,0.666564,0.177365,0.376126,0.100636,0.381344,0.102018,0.271022,0.0936561,0.359565,0.167978,0.3626,0.14676,0.204048,0.253577,0.221561,0.186384,0.335967
TTHERM_00256384,0.0926607,0.175045,0.0146708,0.137057,0.031013,0.099491,0.0336246,0.0729004,0.0,0.0667552,0.052701,0.254586,0.0295626,0.103316,0.0196312,0.0936144,0.0269811,0.028741
TTHERM_00256725,0.0877992,0.228737,0.0420291,0.0432837,0.176913,0.0712237,0.0,0.0834724,0.0,0.0377,0.148378,0.199641,0.0,0.084475,0.0561202,0.0448233,0.0775744,0.0
TTHERM_00256730,0.0,0.0132708,0.00204784,0.00854872,0.0,0.00868279,0.00472086,0.0061166,0.00467114,0.00940357,0.0,0.00797346,0.0,0.00412398,0.00818557,0.00650029,0.00376572,0.0120849
TTHERM_00256819,0.0136064,0.00237871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTHERM_00256860,0.0598576,0.0563516,0.00434824,0.0136131,0.0138302,0.0129054,0.0225525,0.0151518,0.0297526,0.0139755,0.0131463,0.0105804,0.0218981,0.0197021,0.0173814,0.0299064,0.0359814,0.0149679
TTHERM_00256870,0.438586,0.311359,0.140788,0.067426,0.114159,0.0927013,0.141303,0.0775104,0.126598,0.126291,0.190369,0.141922,0.188513,0.140096,0.16108,0.126161,0.204066,0.0847228
TTHERM_00256900,0.155585,0.151592,0.062265,0.141558,0.0299808,0.148788,0.052109,0.0957562,0.0966084,0.160731,0.102398,0.16484,0.0456143,0.102568,0.0906166,0.125956,0.104094,0.100094
TTHERM_00256910,0.413243,0.382304,0.680276,0.536676,0.360405,0.393651,0.306928,0.462038,0.345415,0.417139,0.632477,0.522459,0.893572,0.643216,0.539413,0.701049,0.321199,0.496881
